Latitude,Longitude,Depth,Magnitude,Quality,Location
66.239,-16.555,2.9 km,1,56.64,8.4 km SSW of Kópasker
66.266,-16.529,3.0 km,1.3,99,5.3 km SW of Kópasker
66.232,-16.558,2.6 km,0.9,42.44,9.1 km SSW of Kópasker
66.231,-16.565,2.3 km,1,73.28,9.3 km SSW of Kópasker
66.239,-16.557,1.9 km,0.9,44.67,8.4 km SW of Kópasker
66.262,-16.551,1.5 km,1,47.03,6.3 km SW of Kópasker
66.266,-16.529,4.4 km,1.2,80.9,5.3 km SW of Kópasker
66.255,-16.532,7.0 km,1.1,86.87,6.3 km SW of Kópasker
66.245,-16.552,5.2 km,1.1,63.1,7.7 km SW of Kópasker
66.236,-16.557,2.6 km,1.2,74.93,8.7 km SSW of Kópasker
66.266,-16.532,2.4 km,1.2,99,5.3 km SW of Kópasker
66.269,-16.543,3.0 km,2.1,99,5.4 km SW of Kópasker
66.294,-16.555,7.8 km,1.1,46.24,4.7 km W of Kópasker
66.265,-16.534,2.2 km,1.3,99,5.5 km SW of Kópasker
66.249,-16.559,5.4 km,2.6,99,7.6 km SW of Kópasker
66.268,-16.528,3.0 km,1.4,99,5.1 km SW of Kópasker
66.271,-16.529,5.2 km,1.8,99,4.9 km SW of Kópasker
66.244,-16.548,4.0 km,2.7,99,7.7 km SW of Kópasker
66.249,-16.548,3.9 km,1.1,87.47,7.3 km SW of Kópasker
66.259,-16.512,12.0 km,1,67.95,5.5 km SSW of Kópasker
66.271,-16.485,14.8 km,1.1,61.98,3.7 km SSW of Kópasker
66.253,-16.537,5.4 km,1.1,99,6.6 km SW of Kópasker
66.249,-16.555,3.3 km,1,58.08,7.5 km SW of Kópasker
66.243,-16.552,3.9 km,0.8,99,7.9 km SW of Kópasker
66.241,-16.552,3.3 km,1,44.92,8.1 km SSW of Kópasker
66.251,-16.543,5.1 km,1.3,82.85,7.0 km SW of Kópasker
66.209,-16.654,1.1 km,1.3,90.02,13.7 km SW of Kópasker
66.252,-16.535,5.6 km,1.3,99,6.7 km SW of Kópasker
66.26,-16.54,3.0 km,1.1,73.34,6.1 km SW of Kópasker
66.243,-16.549,3.3 km,1.2,99,7.8 km SW of Kópasker
66.264,-16.538,1.4 km,1.2,59.07,5.7 km SW of Kópasker
66.256,-16.553,2.4 km,1,45.69,6.8 km SW of Kópasker
66.258,-16.529,0.2 km,1.3,85.01,6.0 km SW of Kópasker
66.236,-16.531,11.5 km,1.2,90.01,8.1 km SSW of Kópasker
66.268,-16.549,0.7 km,1,30.26,5.7 km SW of Kópasker
66.256,-16.545,2.8 km,1,55.61,6.6 km SW of Kópasker
66.255,-16.538,5.1 km,1,70.75,6.5 km SW of Kópasker
66.237,-16.567,1.3 km,1.1,46.46,8.8 km SW of Kópasker
66.256,-16.558,1.9 km,1,57.94,6.9 km SW of Kópasker
66.258,-16.542,5.5 km,1.2,46.5,6.3 km SW of Kópasker
66.263,-16.526,5.9 km,1.3,89.5,5.4 km SW of Kópasker
66.235,-16.561,2.7 km,1,54.36,8.9 km SSW of Kópasker
66.271,-16.526,3.2 km,1.1,99,4.8 km SW of Kópasker
66.239,-16.555,2.3 km,1,56.9,8.4 km SSW of Kópasker
66.274,-16.531,3.6 km,1.2,82.94,4.7 km SW of Kópasker
66.267,-16.537,2.7 km,1,57.63,5.4 km SW of Kópasker
66.255,-16.553,1.5 km,1.8,99,6.9 km SW of Kópasker
66.246,-16.545,5.9 km,1.2,40.92,7.5 km SW of Kópasker
66.223,-16.519,2.0 km,1,35.5,9.2 km SSW of Kópasker
66.238,-16.554,3.8 km,1.1,58.45,8.4 km SSW of Kópasker
66.278,-16.546,3.4 km,1.2,89.51,5.0 km WSW of Kópasker
66.239,-16.561,3.8 km,1.8,99,8.5 km SW of Kópasker
66.306,-16.504,6.0 km,1,35.19,2.4 km WNW of Kópasker
66.259,-16.537,1.4 km,1.2,83.24,6.1 km SW of Kópasker
66.232,-16.529,1.9 km,1.2,56.86,8.5 km SSW of Kópasker
66.289,-16.583,4.8 km,1.2,55.75,6.0 km WSW of Kópasker
66.273,-16.529,2.9 km,1.2,83.08,4.7 km SW of Kópasker
66.26,-16.531,2.1 km,1.5,87.01,5.8 km SW of Kópasker
66.241,-16.541,5.1 km,1.2,58.94,7.8 km SSW of Kópasker
66.231,-16.467,11.4 km,1.1,80.34,7.9 km S of Kópasker
66.257,-16.553,0.4 km,0.9,36.07,6.7 km SW of Kópasker
66.248,-16.562,1.3 km,1,47.59,7.7 km SW of Kópasker
66.236,-16.562,3.6 km,1.2,57.77,8.8 km SW of Kópasker
66.275,-16.534,4.9 km,1,36.5,4.7 km SW of Kópasker
66.241,-16.551,4.4 km,1.4,99,8.1 km SSW of Kópasker
66.252,-16.541,1.1 km,1,48.45,6.8 km SW of Kópasker
